Trader Address,Trader Name,Account Value,Trading Volume (1d),Trading Volume (7d),Trading Volume (1m),Trading Volume (All time),PNL (1d),PNL (7d),PNL (1m),PNL (All time)
0xbee95bb47bc4e28bb1fd489a2d0f873fe59172ad,,19770360.94,0,0,0,135283426.1,2106981.977,0,0,25117814.51
0xb9a2bc88d22e82628acdb2a86fc297a038b3158e,,18479188.45,0,0,0,0,1968494.95,0,0,0
0x007d76eec0ba411ce873a8819df50dd443d967a0,,15521389.29,29961839.22,352075248.1,683599359,3997077028,1964482.957,-1090354.041,971408.983,7714077.866
0xfe7409d80806b7477b55837f741f726809a0785b,,18557723.84,0,0,0,0,1961243.657,541774.5394,0,0
0xcf9bfaf7e7ed48d85f2487b8fed07852a5e93ad1,,26837617.68,0,0,0,211040112.1,1862770.754,0,0,5718899.284
0x18ed0f81334d32027da587f92eab8c53a87eacbd,,16437918.67,0,0,0,0,1738131.274,486715.7025,0,0
0xeaa38328a708306549b85636a651ec32f00bcd84,,19193709.44,0,0,0,0,1732644.623,0,0,0
0x8ae4c5b303bc77c3aa68f2b71f37c9fa6d3b3d60,,9136180.836,2299608.89,56792814.18,304217704.3,443504061.2,1731163.874,727464.1889,-3235917.23,-1505723.552
0x152e41f0b83e6cad4b5dc730c1d6279b7d67c9dc,,18183827.34,59084295.33,99123465.27,680315534.1,1402528675,1722982.013,1881103.901,12715038.6,8304925.306
0x82d8dc80190e6bc1d92b048f9fc7e85e5e1e32ff,,21988754.45,0,0,1739205.15,63360405.15,1684354.842,0,0,29913710.23
0xec0b9ebf2a304c99cafe85c548c14dd7783cb078,,13723600.49,0,0,23084917.81,1593131908,1682810.182,445855.1864,-5563528.637,-6419181.221
0x0aadc54a9e78cfe2e971aa8edcedea9c6df01f46,Ramiel.Capital,16683094.27,0,0,0,6178356.88,1677161.325,0,0,13103459.49
0x3e3868f5e6fd1b2c2b91b234436b46c0a5b1140c,,20111737.75,0,0,11910792.21,636500209.5,1667963.817,308705.764,-1238338.013,374788.751
0x091144e651b334341eabdbbbfed644ad0100023e,,29853495.62,1674482.24,12691550.81,79095600.45,843772522.8,1639221.223,330931.0044,1436896.299,1802366.503
0xd260b2216b735277da6771564a01c04856e78321,,10098491.29,0,0,52821182.72,193047092.6,1633166.775,1170222.432,-1331184.169,1407002.513
0x0e41eb80e9a39ae7b887a94f6a88f6c791e26359,,11094514.4,0,0,0,101142107.5,1559070.123,-296761.7485,-6950152.94,6636470.739
0xebe07e526c4dc5f0005801bbd7d9850c424cf719,,19016497.55,0,7879925.37,15865177.65,15865277.25,1540876.418,0,0,0
0xbf49647d017805fcc576ac10f33a788e636f4258,,16532150.57,0,1493791.73,1493791.73,186941434,1534613.366,101472.1979,0,10487546.96
0x6555e1cc97d3cba6eaddebbcd7ca51d75771e0b8,,22514677.54,0,1735468.32,3459186.98,117826136.6,1528073.79,-314149.0276,-2913408.832,7030844.072
0x87f9cd15f5050a9283b8896300f7c8cf69ece2cf,,74051195.38,2141018004,10837272491,74128676794,3.10E+11,1528038.45,593087.1046,16633617.78,18166021.98
0xad6b6913aa3e3071910a4d53a5c88dc01bade4a4,,20252210.31,0,0,0,0,1525151.936,133698.384,0,0
0xf02021e26e0bbfef8ffa2cc9cb64305a8ae465b4,,17899823.34,0,0,0,4882640.01,1522132.673,0,0,13871346.4
0xa9ff08af55b24bb5d064d776a078e8a292b8dfe2,,18104250.88,0,0,0,14807282.55,1519692.001,255738.9827,0.038786,3897857.675
0x156115e100141e9330620c253225cc5ee598a31a,,19331495.58,0,0,0,7128925.1,1517228.72,476307.3583,0,16271364.37
0x88806a71d74ad0a510b350545c9ae490912f0888,,21842293.39,0,0,0,0,1489719.121,0,0,113919.8597
0x15271757b398cd1d3d7cca05c4f7b0c159afa7c2,,23225566.86,5043742.05,7531287.94,172037648.7,948195734.4,1457238.671,114620.2051,-7548823.469,8447296.527
0x13c50dcdee4bbcba71baf578b345cdd35c7928be,,18865583.07,0,0,379754.23,6707045.83,1452917.51,320285.5493,0,41250216.16
0xa5b0edf6b55128e0ddae8e51ac538c3188401d41,,11878407.13,27669366.14,38985364.73,208455460.9,208455460.9,1445934.932,1378406.405,2764574.515,2764574.515
0xd9225c2b6383f6e532c01c34d7588b1106b9e30b,,16728075.54,0,0,0,541571863,1427986.81,0,0,20669866.37
